"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Jan-2024","EQ","181.05","184.10","176.65","179.60","179.00","179.30","180.52","186.00","49.25","48,30,130","87,19,13,806.95","41,506"
"29-Jan-2024","EQ","175.45","184.25","173.00","174.40","179.70","179.60","179.86","186.00","49.25","1,02,62,174","1,84,57,11,552.35","65,942"
"25-Jan-2024","EQ","171.65","177.55","171.25","171.75","174.00","174.40","174.89","186.00","49.25","32,70,472","57,19,61,861.65","30,457"
"24-Jan-2024","EQ","170.90","173.50","165.95","170.90","171.35","171.75","171.17","186.00","49.25","35,19,120","60,23,61,233.20","33,569"
"23-Jan-2024","EQ","169.80","178.90","160.55","174.90","170.55","170.90","169.68","186.00","49.25","1,20,34,231","2,04,20,16,462.50","86,207"
"20-Jan-2024","EQ","178.20","178.70","173.00","177.00","174.00","174.90","176.08","186.00","49.25","21,09,506","37,14,45,175.75","18,312"
"19-Jan-2024","EQ","180.00","181.40","175.55","177.60","175.70","177.00","177.87","186.00","49.25","73,52,246","1,30,77,74,260.25","51,711"
"18-Jan-2024","EQ","171.20","179.75","164.00","171.20","177.90","177.60","173.48","186.00","49.25","88,65,480","1,53,79,46,024.40","60,350"
"17-Jan-2024","EQ","171.05","176.60","168.35","174.05","171.35","171.20","172.53","186.00","49.25","69,00,079","1,19,04,80,573.35","45,558"
"16-Jan-2024","EQ","171.00","179.50","169.35","169.30","174.45","174.05","174.37","186.00","49.25","1,46,06,264","2,54,69,39,652.45","92,918"
"15-Jan-2024","EQ","162.30","186.00","162.25","159.30","169.90","169.30","175.60","186.00","49.25","2,94,27,230","5,16,75,39,864.65","1,62,978"
"12-Jan-2024","EQ","163.50","164.45","156.50","160.60","159.40","159.30","160.54","164.45","49.25","2,37,94,037","3,81,97,82,440.15","1,16,384"
"11-Jan-2024","EQ","134.25","161.00","134.25","134.20","161.00","160.60","154.09","161.00","49.25","6,06,37,503","9,34,33,46,107.10","2,12,203"
"10-Jan-2024","EQ","134.90","135.00","131.55","134.00","134.20","134.20","133.54","137.70","49.25","20,68,651","27,62,46,671.25","13,518"
"09-Jan-2024","EQ","134.15","135.70","133.50","133.90","134.05","134.00","134.34","137.70","49.25","12,55,731","16,86,90,465.65","9,557"
"08-Jan-2024","EQ","134.20","135.30","132.90","134.15","134.35","133.90","133.99","137.70","49.25","15,58,019","20,87,54,775.00","15,810"
